lemma_id	lemma	dcs_grammar	raw	declined	presind	acc_rate	gloss
157262	brū	6. P.	9781	605	919	0.71	to speak; to say; to tell; to speak about any person or thing (acc. with or without prati); to proclaim; to answer (either intrans. with punar or trans. with praśnam); to speak or decide or judge wrongly; to call or profess one's self to be; to designate for one's self; to choose; to be told by itself; to disclose; to assert
114356	sva	adj	9459	3368	0		own; one's own; related; akin
156124	ah	1. P.	9447	0	0		to say; to call; to consider; to declare; to acknowledge; to state; to adjugde anything
158058	vid	1. Ā.	9391	2143	539	0.81	to know; to understand; to learn; to be conscious of; to take for; to mind; to notice; to enquire
163234	para	pron	9370	7182	0		far; remote; opposite; previous; ancient; following; final; exceeding; better or worse than; best; worst; hostile
166282	tri	nr	9312	5761	0		three
157340	sthā	1. Ā.	9268	4846	1450	0.40	to stand; to station one's self; to get upon; to stay; to remain; to be intent upon; to keep on; to endure; to last; to be; to exist; to be at hand; to be near to; to adhere to; to serve; to behave; to be fixed on; to stand still
156584	jan	4. P.	9247	3768	2898	0.22	to come into existence; to grow (as plants); to be born as; to be by birth or nature; to be born again; to become; to be; to be changed into (dat.); to take place; to happen; to be possible or applicable or suitable; to produce; to generate; to be born
73227	yat	ind	9083	0	0		as often; how many or often; as many as (= Lat. quot); because; if
71929	rūpa	n	8869	7186	0		any outward appearance or phenomenon or colour (often pl.); form; shape; phantom shapes; handsome form; grace; beauty; nature; feature; mark; sign; symptom; likeness; reflection; circumstances; sort; kind; mode; way; a single specimen; name of the number one; a particular coin; a show; drama; (in alg.) the arithmetical unit; integer number; known or absolute number; (in gramm.) any form of a verb or noun; (in phil.) the quality of colour
157282	han	8. P.	8744	2762	1388	0.92	to strike; to beat; to pound; to hammer; to strike upon; to smite; to slay; to hit; to kill; to mar; to destroy; to put to death; to strike off; to avert; to hurt; to wound; (astron.) to come in contact; to obstruct; to hinder; to repress; to give up; to abandon; to have sex; to bang; to thwart (an argument etc.)
166401	enad	pron	8521	8519	0		this; (anaphoric pronoun in Vedic)
169970	ha	ind	8223	0	0		indeed; a kind of bīja; thus
72936	yajña	m	8205	6767	0		worship; devotion; prayer; praise; act of worship or devotion; offering; oblation; sacrifice; a worshipper; sacrificer; fire; Sacrifice personified; name of a form of Viṣṇu; name of Indra under Manu Svāyambhuva; name of a son of Ruci and Ākūti; name of Śiva; name of a son of Anantaka
94899	pitṛ	m	8158	6876	0		a father; parents; the fathers; forefathers; ancestors; (esp.) the Pitṛs or deceased ancestors; a father and his brothers; father and uncles; paternal ancestors; a particular child's-demon; [gramm.] the word 'pitṛ'
22761	kāla	m	8154	6029	0		time; the proper time or season for; eine Essenszeit; a spot; tense
96104	tadā	ind	8123	0	0		at that time; then; in that case (often used redundantly)
164309	kaścit	pron	7977	7944	0		someone; something; any
