lemma	slp1	class	freq	gloss
kṣetra	kzetra	a_n	739	landed property
piṇḍa	piRqa	a_m	736	any round or roundish mass or heap
raśmi	raSmi	i_m	725	string
pāka	pAka	a_m	724	cooking
āyatana	Ayatana	a_n	724	resting-place
śrotra	Srotra	a_n	724	organ of hearing
ambhas	amBas	as_n	724	water
nidhana	niDana	a_n	723	settling down
udaya	udaya	a_m	720	going up
vikāra	vikAra	a_m	720	change of form or nature
saṃgha	saMGa	a_m	718	any collection or assemblage
vānara	vAnara	a_m	718	monkey
vaktra	vaktra	a_n	718	mouth
saṃyoga	saMyoga	a_m	718	conjunction
bāla	bAla	a_m	718	child
daitya	dEtya	a_m	714	son of Diti
vistara	vistara	a_m	713	spreading
netra	netra	a_n	712	leading
āhāra	AhAra	a_m	711	taking
homa	homa	a_m	711	oblation with fire
śaraṇa	SaraRa	a_n	706	shelter
dhvaja	Dvaja	a_m	705	banner
vṛṣṭi	vfzwi	i_f	703	rain
puṃgava	puMgava	a_m	700	bull
vyāsa	vyAsa	a_m	700	severing
śīla	SIla	a_m	699	habit
grahaṇa	grahaRa	a_n	697	hand
śoka	Soka	a_m	697	flame
mānasa	mAnasa	a_m	693	mental powers
vanaspati	vanaspati	i_m	692	forest tree
vayas	vayas	as_n	691	enjoyment
gaja	gaja	a_m	691	elephant
vaṃśa	vaMSa	a_m	689	bamboo cane or any cane
ānanda	Ananda	a_m	689	happiness
mada	mada	a_m	688	hilarity
pūṣan	pUzan	an_m	688	sun
akṣa	akza	a_m	687	eye
nābhi	nABi	i_f	687	navel
kaunteya	kOnteya	a_m	687	metron. from Kuntī
subhūti	suBUti	i_m	687	kind of bird
bhuvana	Buvana	a_n	686	being
nakṣatra	nakzatra	a_n	685	star or any heavenly body
jaya	jaya	a_m	681	conquest
bhuja	Buja	a_m	681	arm
divasa	divasa	a_m	681	heaven
adharma	aDarma	a_m	679	unrighteousness
ānana	Anana	a_m	678	mouth
saṃdhi	saMDi	i_m	677	junction
mokṣa	mokza	a_m	676	emancipation
mātrā	mAtrA	A_f	674	measure
yantra	yantra	a_n	674	prop
agnihotra	agnihotra	a_n	674	oblation to Agni
parākrama	parAkrama	a_m	674	bold advance
āyudha	AyuDa	a_n	671	weapon
mala	mala	a_m	671	dirt
gṛhapati	gfhapati	i_m	670	master of a house
sutā	sutA	A_f	670	daughter
purī	purI	I_f	667	fortress
pūjā	pUjA	A_f	667	honour
antika	antika	a_n	664	vicinity
apāna	apAna	a_m	663	anus
martya	martya	a_m	661	mortal
gadā	gadA	A_f	661	series of sentences
pāvaka	pAvaka	a_m	660	fire
gautama	gOtama	a_m	660	Gautama's family
gārhapatya	gArhapatya	a_m	660	householder's fire
parāyaṇa	parAyaRa	a_m	658	final end or aim
kavi	kavi	i_m	657	thinker
dṛṣṭi	dfzwi	i_f	656	seeing
bhoga	Boga	a_m	655	enjoyment
sāra	sAra	a_m	652	core
sarpa	sarpa	a_m	651	snake
vṛṣan	vfzan	an_m	650	man
