rank	lemma_id	lemma	dcs_grammar	upos	count	gloss
37193	210524	kumbholūkhalaka	mn	NOUN	3	bdellium
37194	134033	kauśika	m	NOUN	3	one who is versed in dictionaries; a lexicographer; one who catches snakes; the fragrant substance bdellium; marrow; a kind of seed
37195	56664	uddāla	m	NOUN	3	Paspalum Frumentaceum; Cordia Myxa; Cordia Latifolia; Cordia wallichii G.Don; Bauhinia variegata Linn.; Bauhinia acuminata Linn.
37196	166813	kākatinduka	m	NOUN	3	Disopyros tomentosa Roxb.; Diospyros melanoxylon Roxb.; Strychnos nux-vomica Linn.; Capparis sepiaria Linn.
37197	149630	brahmadāru	mn	NOUN	3	Morus Indica
37198	22547	kārśya	m	NOUN	3	name of a plant; the plant Artocarpus Lacucha
37199	60207	aśvakarṇaka	m	NOUN	3	the tree Vatica Robusta
37200	43906	nadīsarja	m	NOUN	3	Terminalia Arjuna
37201	119111	vyāghrapuccha	m	NOUN	3	a tiger's tail; the castor-oil tree; Ricinus Commuuis
37202	90606	drukilima	n	NOUN	3	Pinus Deodora
37203	139509	viṣvaksenā	f	NOUN	3	a kind of plant
37204	165829	kaṇṭakiphala	m	NOUN	3	Name einer Pflanze
37205	87273	jaghanephalā	f	NOUN	3	Ficus oppositifolia
37206	79461	mālaka	n	NOUN	3	a garland; ring; Hibiscus Mutabilis
37207	54895	avigna	m	NOUN	3	the plant Carissa Carandas
37208	97138	tāpiccha	m	NOUN	3	the Tamāla plant
37209	86656	devatāḍa	m	NOUN	3	Lipeocercis Serrata; Luffa Foetida or a similar plant; fire; name of Rāhu
37210	123530	śītabhīru	m	NOUN	3	sensitive to cold; Jasminum Zambac; [bot.] = nirguṇḍī
37211	41625	śvetasurasā	f	NOUN	3	a white -flowering variety of the Vitex Negundo or Nyctanthes Arbor Tristis
37212	110901	hemapuṣpikā	f	NOUN	3	yellow jasmine; Linum Usitatissimum
37213	78817	mādhya	adj	ADJ	3	middle; central; mid
37214	65842	raktaka	m	NOUN	3	a red garment; an amorous or impassioned or sporting man; a player; Pentapetes Phoenicea; globe-amaranth; a redflowering Moringa; red Ricinus; Caesalpina Sappan
37215	154236	bandhujīvaka	m	NOUN	3	name of a Cakravartin; a kind of plant
37216	139892	pratihāsa	m	NOUN	3	returning a laugh; laughing with or at; fragrant oleander; Nerium Odorum
37217	171364	prasthapuṣpa	m	NOUN	3	a kind of plant
37218	35655	madhuśreṇī	f	NOUN	3	Sanseviera Roxburghiana
37219	39560	ekāṣṭhīlā	f	NOUN	3	a species of Calotropis; Clypea Hernandifolia
37220	1148	kaṇḍūrā	f	NOUN	3	Mucuna Pruritus; itch (?)
37221	89002	jiṅgī	f	NOUN	3	Odina Wodier; Rubia Munjista
37222	48715	bhaṇḍīrī	f	NOUN	3	Hydrocotyle Asiatica; Indian madder
37223	85097	duḥsparśa	m	NOUN	3	Alhagi Maurorum; Guilandina Bonduc; a kind of jujube tree
37224	171378	somavallikā	f	NOUN	3	a kind of plant
37225	1859	kapivallī	f	NOUN	3	kind of plant; the fruit of Cavikā (Piper chaba?)
37226	4363	kṛṣṇalā	f	NOUN	3	Abrus precatorius (a shrub bearing a small black and red berry)
37227	68634	vanaśṛṅgāṭa	m	NOUN	3	Tribulus lanuginosus
37228	171381	parjanī	f	NOUN	3	Curcuma Aromatica
37229	79631	rūṣa	m	NOUN	3	bitter and sour taste
37230	126148	śītaśiva	m	NOUN	3	Anethum Sowa or another kind of anise; Mimosa Suma
37231	169000	vāṭyālaka	mf	NOUN	3	Sida Rhomboidea; Sida Cordifolia
37232	132361	śāradī	f	NOUN	3	the day of full moon in the month Kārttika (or Āśvina); Jussiaea Repens; Alstonia Scholaris
37233	128196	kharāśvā	f	NOUN	3	Celosia cristata; = aja-gandhā or karavī (commonly vanayamānī)
37234	109948	hiṅgulī	f	NOUN	3	Solanum Melongena or some other species
37235	48697	bhaṇṭākī	f	NOUN	3	Solanum Melongena
37236	43497	nakuleṣṭā	f	NOUN	3	a kind of medic. plant
37237	172765	jālī	f	NOUN	3	a kind of plant
37238	146682	dārvikā	f	NOUN	3	name of a plant = gojihvā; Elephantopus scaber Linn.; collyrium prepared from Curcuma Aromatica or Xanthorrhiśa; name of a river
37239	94426	pālaṅka	mf	NOUN	3	Beta Bengalensis; Beta maritima (vulgaris)
37240	4619	keśāmbu	mn	NOUN	3	Pavonia odorata
37241	128605	gajabhakṣyā	f	NOUN	3	a kind of plant; the Olibanum tree
37242	78168	maheraṇā	f	NOUN	3	Boswellia Thurifera
37243	24478	kuberaka	m	NOUN	3	a kind of pot-herb; the tree Cedrela Toona
37244	172769	nandivṛkṣa	m	NOUN	3	Cedrela toona
37245	160818	cakrakāraka	n	NOUN	3	the perfume unguis odoratus
37246	172770	vidrumalatā	f	NOUN	3	a kind of perfume
37247	6648	añjanakeśī	f	NOUN	3	name of a vegetable perfume
37248	121914	hanu	f	NOUN	3	a weapon; death; disease; various kinds of drugs; a wanton woman; prostitute
37249	23999	kukkura	n	NOUN	3	a vegetable perfume; [bot.] a kind of plant
37250	37065	marunmālā	f	NOUN	3	Trigonella Corniculata; Medicago Esculenta
37251	80492	laghu	f	NOUN	3	Trigonella Corniculata
37252	4898	koṭivarṣā	f	NOUN	3	Medicago esculenta
37253	62547	āvegī	f	NOUN	3	name of the plant Argyreia Speciosa
37254	101086	dantaśaṭhā	f	NOUN	3	Oxalis pusilla
37255	128771	khadirā	f	NOUN	3	a sensitive plant (Mimosa pudica)
37256	10369	anāryatikta	m	NOUN	3	the medicinal plant Gentiana Cherayta
37257	16024	padmāṭa	m	NOUN	3	Cassia tora
37258	154201	badarā	f	NOUN	3	the cotton shrub; a species of Dioscorea; Mimosa Octandra; Clitoria Ternatea
37259	48787	bhadrabalā	f	NOUN	3	Paederia Foetida; Sida Cordifolia
37260	29630	samaṣṭhilā	f	NOUN	3	a kind of culinary herb or cucumber
37261	129029	gaṇḍālī	f	NOUN	3	white Dūrvā grass
37262	48798	bhadramustaka	mn	NOUN	3	a kind of Cyperus (only ifc.)
37263	83213	tṛṇadhvaja	m	NOUN	3	
37264	91861	dhamana	m	NOUN	3	reed; Azadirachta Indica
37265	80240	rauhiṣa	m	NOUN	3	a kind of deer; Cyprinus Rohita; a kind of medicinal plant
37266	147572	bālatṛṇa	n	NOUN	3	young grass
37267	51442	citrakāya	m	NOUN	3	a tiger; a kind of snake; a panther
37268	157102	ghoṇin	m	NOUN	3	a hog
37269	174088	stabdharoman	m	NOUN	3	a wild boar
37270	75950	vātāyu	m	NOUN	3	an antelope
37271	39897	aiṇeya	n	NOUN	3	a kind of coitus; the skin of an antelope
37272	150109	pecaka	m	NOUN	3	an owl; the tip of an elephant's tail; a couch; a louse; cloud
37273	147097	divāndha	m	NOUN	3	an owl
37274	119129	vyāghrāṭa	m	NOUN	3	a skylark
37275	146310	dārvāghāṭa	m	NOUN	3	the woodpecker
37276	68566	vanapriya	m	NOUN	3	the Indian cuckoo; a kind of antelope
37277	153876	balipuṣṭa	m	NOUN	3	a crow
37278	8678	sakṛtpraja	m	NOUN	3	a crow; a lion
37279	57766	ātmaghoṣa	m	NOUN	3	a crow; a cock
37280	90700	droṇakāka	m	NOUN	3	a raven
37281	87442	jatukā	f	NOUN	3	lac; a bat
37282	50514	bhujaṃgabhuj	m	NOUN	3	a peacock; name of Garuḍa
37283	132562	śikhāvala	m	NOUN	3	a peacock
37284	5010	koyaṣṭika	m	NOUN	3	the lapwing (or "a small white crane")
37285	130128	garut	mn	NOUN	3	the wing of a bird
37286	169552	māyūra	n	NOUN	3	a kind of āsana; [min.] = mayūratuttha
37287	26090	bhoginī	f	NOUN	3	a kind of heroine; the concubine of a king or a wife not regularly consecrated with him; [rel.] name of Devī
37288	120268	svayaṃvara	adj	ADJ	3	self-choosing
